time,name,address,cuisine_type,travel_distance,travel_time,transportation_type
8:00 AM,The Grub House,"1953 N College Ave, Indianapolis, IN 46202, USA",cafe,0.8 mi,3.0 mins,driving
17:00 PM,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",restaurant,4.8 mi,15.0 mins,driving
